epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.47223,0.92092,2.60714,1.51208,0.00333,1,0.33167,0.2985,0.22828,2.86125,0.58637,0,0,0
2,7.93228,0.80677,2.84898,1.29094,0.00333,1,0.33167,0.2985,0.23286,2.86952,0.59029,1.9802e-05,1.9802e-05,1.9802e-05
3,10.1743,0.84655,2.55693,1.15506,0.00333,1,0.4975,0.44775,0.23353,2.86945,0.60223,3.9208e-05,3.9208e-05,3.9208e-05
4,12.265,0.54886,2.40556,1.04545,0.00333,1,0.995,0.8955,0.22902,2.86343,0.59061,5.8218e-05,5.8218e-05,5.8218e-05
5,14.3103,0.74076,2.39458,1.1844,0.00333,1,0.995,0.8955,0.22507,2.85591,0.59061,7.6832e-05,7.6832e-05,7.6832e-05
6,16.4026,0.69589,2.25062,1.09389,0.00333,1,0.995,0.8955,0.25147,2.85754,0.58872,9.505e-05,9.505e-05,9.505e-05
7,18.3311,0.67577,2.55799,1.17932,0.00333,1,0.995,0.8955,0.29223,2.84548,0.58922,0.000112872,0.000112872,0.000112872
8,20.3548,0.65166,1.93758,1.10247,0.00333,1,0.995,0.8955,0.28918,2.81309,0.61219,0.000130298,0.000130298,0.000130298
9,22.426,0.61357,2.01967,1.14343,0.00333,1,0.995,0.8955,0.3302,2.81043,0.64244,0.000147328,0.000147328,0.000147328
10,24.5329,0.95242,1.99427,1.24442,0.00333,1,0.995,0.796,0.35944,2.77716,0.65903,0.000163962,0.000163962,0.000163962
11,26.5573,0.866,1.58254,1.54469,0.00333,1,0.995,0.796,0.39725,2.7428,0.69084,0.0001802,0.0001802,0.0001802
12,28.6902,0.39389,1.29248,1.08791,0.00333,1,0.995,0.796,0.5255,2.59042,0.80948,0.000196042,0.000196042,0.000196042
13,30.7017,0.90249,1.61038,1.17214,0.00689,1,0.995,0.8955,0.54596,2.36655,0.77222,0.000211488,0.000211488,0.000211488
14,32.8022,0.6539,1.34055,1.17545,0.60127,1,0.995,0.8955,0.39041,2.1871,0.63696,0.000226538,0.000226538,0.000226538
15,34.8563,0.66735,1.38088,1.0628,0.60709,1,0.995,0.995,0.30319,2.23615,0.57091,0.000241192,0.000241192,0.000241192
16,36.7847,0.45797,1.26472,0.94944,0.00703,1,0.995,0.995,0.32376,2.32265,0.62153,0.00025545,0.00025545,0.00025545
17,38.8961,0.72179,1.3138,1.22476,0.00333,1,0.995,0.8955,0.46745,2.58283,0.75938,0.000269312,0.000269312,0.000269312
18,40.7872,0.60381,1.01888,1.14414,0.00333,1,0.995,0.8955,0.46745,2.58283,0.75938,0.000282778,0.000282778,0.000282778
19,42.8174,0.6959,1.1769,1.08711,0.00333,1,0.995,0.796,0.52378,2.63235,0.8472,0.000295848,0.000295848,0.000295848
20,44.7673,0.71144,1.31739,1.03686,0.00333,1,0.995,0.796,0.52378,2.63235,0.8472,0.000308522,0.000308522,0.000308522
21,46.7475,0.63423,0.93207,0.90649,0.00333,1,0.995,0.796,0.46746,2.63513,0.85962,0.0003208,0.0003208,0.0003208
22,48.5888,0.89325,1.49114,1.39448,0.00333,1,0.995,0.796,0.46746,2.63513,0.85962,0.000332682,0.000332682,0.000332682
23,50.6606,0.75853,0.9815,0.954,0.00333,1,0.995,0.8955,0.46417,2.66589,0.89375,0.000344168,0.000344168,0.000344168
