epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,156.529,0.9945,2.36055,1.08313,0.00317,0.95,0.48664,0.3094,1.08781,3.75674,1.25239,0.00052,0.00052,0.00052
2,312.376,0.93228,1.44969,1.00662,1,0.32438,0.70778,0.54223,1.13678,3.50606,1.40212,0.00104951,0.00104951,0.00104951
3,443.881,0.92304,1.28357,1.01593,0.89663,0.6,0.73105,0.46853,1.45705,2.75783,1.70556,0.00156832,0.00156832,0.00156832
4,583.266,0.96711,1.28075,1.0718,0.50314,0.6,0.53912,0.32153,1.36158,2.75033,1.57069,0.0019406,0.0019406,0.0019406
5,708.391,0.92505,1.08855,1.02969,0.48713,0.75,0.59372,0.39158,1.23437,2.41416,1.35352,0.0019208,0.0019208,0.0019208
6,834.77,0.92228,1.00071,1.03681,0.47167,0.4,0.41146,0.3043,1.19248,2.8068,1.37807,0.001901,0.001901,0.001901
7,961.212,0.86781,0.88357,0.9932,0.92168,0.75,0.82304,0.55708,1.11772,1.49706,1.26374,0.0018812,0.0018812,0.0018812
8,1093.89,0.89532,0.86164,1.007,0.73751,0.75,0.79896,0.53878,1.09565,1.46916,1.17604,0.0018614,0.0018614,0.0018614
9,1230.27,0.86453,0.79446,1.00122,0.92283,0.75,0.81038,0.59169,1.04377,1.32188,1.20747,0.0018416,0.0018416,0.0018416
10,1367.43,0.86271,0.76415,0.99387,0.87977,0.85,0.84442,0.6384,1.1256,1.22005,1.25168,0.0018218,0.0018218,0.0018218
11,1499.71,0.86426,0.73128,0.99519,0.88657,0.9,0.90785,0.65906,1.02508,1.19938,1.19797,0.001802,0.001802,0.001802
12,1630.5,0.84021,0.70453,0.98032,0.91264,0.7,0.86258,0.61822,1.1149,0.96341,1.24025,0.0017822,0.0017822,0.0017822
13,1765.39,0.84896,0.70178,0.99953,0.825,0.85,0.84395,0.63906,0.95521,0.9598,1.16143,0.0017624,0.0017624,0.0017624
14,1895.42,0.84133,0.70862,1.00105,0.93086,0.75,0.85726,0.6217,1.0462,0.97127,1.13893,0.0017426,0.0017426,0.0017426
15,2018.81,0.78494,0.64564,0.97222,0.85234,0.9,0.92714,0.74441,0.86004,0.80101,1.14082,0.0017228,0.0017228,0.0017228
16,2146.13,0.83193,0.66229,0.99388,0.80127,0.85,0.88145,0.65578,1.17047,0.87728,1.3279,0.001703,0.001703,0.001703
17,2274.62,0.79469,0.63912,0.97344,0.93061,0.8,0.88974,0.72426,0.88652,0.90042,1.12811,0.0016832,0.0016832,0.0016832
18,2406.05,0.73486,0.57427,0.94055,0.93824,0.85,0.86105,0.68542,0.89641,0.87419,1.14832,0.0016634,0.0016634,0.0016634
19,2560.86,0.7394,0.56708,0.96321,0.89974,0.85,0.92351,0.70831,0.97102,0.8349,1.17188,0.0016436,0.0016436,0.0016436
20,2716.59,0.75304,0.57331,0.95999,0.83987,0.78728,0.85189,0.59405,1.05911,1.02451,1.18748,0.0016238,0.0016238,0.0016238
21,2856.95,0.73731,0.5551,0.93576,0.87138,0.9,0.92991,0.69673,0.80989,0.77727,1.03248,0.001604,0.001604,0.001604
22,3012.58,0.73845,0.55861,0.94748,0.89198,0.85,0.91498,0.6847,0.86433,0.85731,1.07415,0.0015842,0.0015842,0.0015842
23,3150.86,0.71369,0.54798,0.94505,0.94617,0.87959,0.92021,0.7166,0.79897,0.7479,1.12365,0.0015644,0.0015644,0.0015644
24,3283.98,0.72202,0.52751,0.94219,0.78215,0.89769,0.90323,0.7018,0.82496,0.78163,1.14465,0.0015446,0.0015446,0.0015446
25,3412.23,0.72902,0.53826,0.95383,0.94085,0.79557,0.89902,0.69853,0.87352,0.787,1.14211,0.0015248,0.0015248,0.0015248
26,3537.86,0.71955,0.50114,0.94874,0.84123,0.85,0.88531,0.73296,0.77682,0.69812,1.08389,0.001505,0.001505,0.001505
27,3667.07,0.70867,0.50828,0.93368,0.82388,0.93606,0.91036,0.72602,0.81479,0.77017,1.0697,0.0014852,0.0014852,0.0014852
28,3798.26,0.71999,0.53102,0.95477,0.84464,0.85,0.89543,0.69253,0.88851,0.87767,1.12953,0.0014654,0.0014654,0.0014654
29,3928.29,0.71176,0.51524,0.93336,0.93757,0.85,0.92361,0.75048,0.82054,0.72483,1.13747,0.0014456,0.0014456,0.0014456
30,4054.83,0.68804,0.51879,0.9257,0.92667,0.85,0.86495,0.68489,1.03885,0.92748,1.15053,0.0014258,0.0014258,0.0014258
31,4185.53,0.70083,0.52055,0.93987,0.87801,0.85,0.90375,0.7159,0.97846,0.7305,1.21369,0.001406,0.001406,0.001406
32,4321.11,0.68085,0.50024,0.92772,0.9554,0.9,0.94717,0.78617,0.77428,0.61359,1.10512,0.0013862,0.0013862,0.0013862
33,4450.01,0.66244,0.48124,0.93621,0.94973,0.94481,0.95538,0.7676,0.7623,0.61223,1.1266,0.0013664,0.0013664,0.0013664
34,4579.61,0.6903,0.48442,0.93395,0.92775,0.85,0.91767,0.74206,0.88195,0.70716,1.18703,0.0013466,0.0013466,0.0013466
35,4722.24,0.67215,0.50177,0.9402,0.89401,0.85,0.90387,0.78541,0.69645,0.6625,1.05911,0.0013268,0.0013268,0.0013268
36,4856,0.64335,0.45018,0.92032,0.8966,0.9,0.95748,0.78447,0.81037,0.58707,1.05232,0.001307,0.001307,0.001307
37,4985.78,0.6748,0.45091,0.93631,0.94722,0.89741,0.94946,0.78004,0.75598,0.62913,1.04032,0.0012872,0.0012872,0.0012872
38,5115.26,0.64819,0.45869,0.9064,0.89668,0.95,0.94687,0.71968,0.89529,0.62853,1.10904,0.0012674,0.0012674,0.0012674
39,5238.09,0.66192,0.48057,0.92177,0.89786,0.87965,0.91101,0.71234,0.88285,0.72767,1.08586,0.0012476,0.0012476,0.0012476
40,5360.4,0.65511,0.46698,0.91334,0.86881,0.99366,0.96003,0.76137,0.90001,0.61594,1.11735,0.0012278,0.0012278,0.0012278
41,5481.64,0.63905,0.42994,0.91031,0.94895,0.95,0.95,0.75477,0.84691,0.59707,1.11248,0.001208,0.001208,0.001208
42,5619.6,0.65294,0.46971,0.92898,0.94709,0.89516,0.93126,0.71985,0.91052,0.75547,1.10365,0.0011882,0.0011882,0.0011882
43,5783.26,0.66555,0.44584,0.92874,0.93717,0.95,0.94945,0.72044,0.85777,0.63254,1.06426,0.0011684,0.0011684,0.0011684
44,5907.37,0.65224,0.45732,0.91996,0.96246,0.85,0.93962,0.7721,0.78757,0.5659,1.03712,0.0011486,0.0011486,0.0011486
45,6037.79,0.63707,0.44052,0.9165,0.9713,0.75,0.87266,0.67159,0.91683,0.82861,1.2198,0.0011288,0.0011288,0.0011288
46,6162.45,0.62442,0.4365,0.91484,0.94432,0.84811,0.86594,0.72278,0.87546,0.84274,1.20123,0.001109,0.001109,0.001109
47,6289.12,0.61316,0.44674,0.90305,0.92076,0.9,0.91929,0.75634,0.79065,0.6423,1.07199,0.0010892,0.0010892,0.0010892
48,6410.27,0.63959,0.45052,0.91737,0.90424,0.94448,0.9521,0.7786,0.77565,0.60339,1.07462,0.0010694,0.0010694,0.0010694
49,6528.17,0.62017,0.43377,0.90524,0.93995,0.9,0.96325,0.80148,0.71686,0.51427,1.05726,0.0010496,0.0010496,0.0010496
50,6645.28,0.61333,0.42521,0.90301,0.98541,0.9,0.9633,0.79045,0.75721,0.5045,1.04368,0.0010298,0.0010298,0.0010298
51,6764.07,0.6155,0.42791,0.89118,1,0.94755,0.95564,0.78484,0.7797,0.51589,1.07616,0.00101,0.00101,0.00101
52,6883.62,0.60598,0.42696,0.90918,0.94455,0.95,0.97571,0.82385,0.73119,0.51269,1.03646,0.0009902,0.0009902,0.0009902
53,7001.82,0.60331,0.4164,0.89833,0.90351,0.93681,0.96437,0.80589,0.7664,0.62506,1.08262,0.0009704,0.0009704,0.0009704
54,7120.67,0.59668,0.41595,0.88258,0.94184,0.9,0.97344,0.82676,0.68729,0.51427,1.0602,0.0009506,0.0009506,0.0009506
55,7240.84,0.60453,0.40369,0.89535,0.9463,1,0.98786,0.81012,0.7124,0.45537,1.04213,0.0009308,0.0009308,0.0009308
56,7359.1,0.57228,0.38664,0.89097,1,0.94416,0.98204,0.80155,0.72656,0.48528,1.07531,0.000911,0.000911,0.000911
57,7476.34,0.55837,0.3962,0.87672,0.98869,0.9,0.97698,0.79732,0.75648,0.49573,1.07958,0.0008912,0.0008912,0.0008912
58,7592.4,0.59777,0.40435,0.89234,0.89185,0.95,0.96563,0.79893,0.71479,0.49655,1.06784,0.0008714,0.0008714,0.0008714
59,7710.42,0.58662,0.40317,0.89793,0.90449,0.94714,0.97538,0.78823,0.76253,0.56456,1.04108,0.0008516,0.0008516,0.0008516
60,7827.42,0.59499,0.39903,0.89408,0.94767,0.95,0.975,0.80184,0.73832,0.49591,1.02622,0.0008318,0.0008318,0.0008318
61,7942.92,0.59388,0.39963,0.89204,0.95217,0.99567,0.98548,0.81375,0.66124,0.4597,1.05347,0.000812,0.000812,0.000812
62,8062.11,0.5518,0.37768,0.87871,0.9523,0.99825,0.98786,0.83749,0.69581,0.45334,1.03471,0.0007922,0.0007922,0.0007922
63,8179.23,0.5784,0.37709,0.88885,0.94931,0.93694,0.98098,0.80024,0.81217,0.50957,1.07677,0.0007724,0.0007724,0.0007724
64,8295.19,0.55723,0.36811,0.88606,0.89898,0.95,0.94207,0.75733,0.77921,0.54699,1.06917,0.0007526,0.0007526,0.0007526
65,8411.46,0.56364,0.37171,0.88766,0.93697,0.85,0.91647,0.80778,0.70606,0.56136,1.0904,0.0007328,0.0007328,0.0007328
66,8528.77,0.55856,0.37347,0.89185,1,0.9475,0.95204,0.78798,0.75614,0.53244,1.01211,0.000713,0.000713,0.000713
67,8645.05,0.54636,0.37549,0.87971,1,0.94987,0.9545,0.79996,0.7999,0.51795,1.07518,0.0006932,0.0006932,0.0006932
68,8767.02,0.55811,0.37212,0.88277,1,0.94783,0.98071,0.82555,0.7286,0.44271,1.07108,0.0006734,0.0006734,0.0006734
69,8886.53,0.55694,0.37743,0.88889,0.98726,0.95,0.98346,0.77322,0.83401,0.55594,1.0875,0.0006536,0.0006536,0.0006536
70,9004.07,0.56388,0.39615,0.89197,0.9977,0.95,0.98071,0.8233,0.7683,0.5279,1.11631,0.0006338,0.0006338,0.0006338
71,9120.19,0.55549,0.36365,0.88116,0.99225,0.9,0.98417,0.81259,0.74529,0.47001,1.11087,0.000614,0.000614,0.000614
72,9236.27,0.53853,0.3598,0.87837,1,0.94293,0.985,0.81546,0.75866,0.46856,1.08151,0.0005942,0.0005942,0.0005942
73,9352.2,0.53491,0.3564,0.88721,1,0.94226,0.98071,0.81664,0.68763,0.47732,1.04197,0.0005744,0.0005744,0.0005744
74,9468.05,0.53929,0.35571,0.88763,0.94984,0.94696,0.97191,0.79935,0.78283,0.51523,1.07833,0.0005546,0.0005546,0.0005546
75,9583.6,0.50782,0.33732,0.86796,1,0.94635,0.98667,0.80185,0.79732,0.4089,1.06175,0.0005348,0.0005348,0.0005348
76,9699.8,0.53286,0.34694,0.87557,0.94753,1,0.98548,0.82515,0.67859,0.42625,1.03596,0.000515,0.000515,0.000515
77,9815.67,0.53253,0.35071,0.86699,1,0.94172,0.98848,0.82428,0.70149,0.48952,1.06118,0.0004952,0.0004952,0.0004952
78,9933.3,0.52266,0.35031,0.86921,1,0.9452,0.96773,0.7992,0.75403,0.50332,1.05922,0.0004754,0.0004754,0.0004754
79,10051.7,0.5197,0.36549,0.87647,0.99361,0.95,0.97132,0.81429,0.69643,0.47835,1.02353,0.0004556,0.0004556,0.0004556
80,10169.3,0.5268,0.35664,0.88406,0.99728,0.95,0.98346,0.82401,0.69149,0.43515,1.03795,0.0004358,0.0004358,0.0004358
81,10289.1,0.52739,0.34046,0.87539,0.99521,0.95,0.98071,0.80332,0.72089,0.41065,1.03697,0.000416,0.000416,0.000416
82,10406.6,0.50496,0.33784,0.87616,0.99556,0.95,0.985,0.83054,0.64978,0.42861,1.03594,0.0003962,0.0003962,0.0003962
83,10524.1,0.50532,0.33944,0.86807,0.99786,0.95,0.98848,0.8173,0.72027,0.42425,1.03072,0.0003764,0.0003764,0.0003764
84,10645.3,0.48292,0.31846,0.86214,1,0.94932,0.98346,0.82781,0.67227,0.42448,1.01947,0.0003566,0.0003566,0.0003566
85,10765.5,0.48152,0.32441,0.85951,0.99982,0.95,0.98204,0.81839,0.69795,0.46224,1.03962,0.0003368,0.0003368,0.0003368
86,10887.8,0.48952,0.32638,0.86948,1,0.94807,0.97064,0.83654,0.66339,0.55625,1.00755,0.000317,0.000317,0.000317
87,11007.2,0.48182,0.31408,0.86424,1,0.9466,0.97625,0.80574,0.72399,0.487,1.02602,0.0002972,0.0002972,0.0002972
88,11125.2,0.47929,0.31564,0.85996,0.99822,0.95,0.96227,0.82358,0.66067,0.52054,1.02983,0.0002774,0.0002774,0.0002774
89,11241,0.47131,0.32539,0.86228,0.99819,0.95,0.98848,0.8527,0.65328,0.42154,1.02462,0.0002576,0.0002576,0.0002576
90,11363.1,0.45002,0.30766,0.85572,0.9986,0.95,0.99262,0.83167,0.66013,0.35912,1.02367,0.0002378,0.0002378,0.0002378
91,11486.4,0.44347,0.29876,0.82431,1,0.94213,0.98848,0.83733,0.67419,0.38503,0.99366,0.000218,0.000218,0.000218
92,11598.2,0.452,0.28958,0.82404,0.99228,0.9,0.9825,0.82743,0.70117,0.43427,1.0052,0.0001982,0.0001982,0.0001982
93,11709.4,0.4282,0.28602,0.82656,1,0.94462,0.99045,0.83148,0.70943,0.41351,1.02016,0.0001784,0.0001784,0.0001784
94,11819.2,0.42303,0.27982,0.81666,0.95229,0.99801,0.99262,0.82906,0.72125,0.4197,1.05313,0.0001586,0.0001586,0.0001586
95,11929.3,0.42971,0.27719,0.81775,0.94891,1,0.99262,0.82046,0.73857,0.39749,1.06468,0.0001388,0.0001388,0.0001388
96,12039.4,0.41829,0.26986,0.80053,0.94613,1,0.99262,0.8255,0.73012,0.36542,1.09085,0.000119,0.000119,0.000119
97,12149.4,0.41553,0.26106,0.81443,0.99186,1,0.995,0.81176,0.73088,0.37254,1.05969,9.92e-05,9.92e-05,9.92e-05
98,12267,0.40378,0.26227,0.82004,1,0.9961,0.995,0.83139,0.68987,0.37603,1.02003,7.94e-05,7.94e-05,7.94e-05
99,12384.5,0.40745,0.26475,0.82112,0.99094,0.95,0.99045,0.81767,0.6804,0.37548,1.01979,5.96e-05,5.96e-05,5.96e-05
100,12499.5,0.40285,0.26453,0.81931,0.99962,0.95,0.99045,0.81418,0.7057,0.37914,1.03602,3.98e-05,3.98e-05,3.98e-05
