epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9368,1.06495,2.25824,1.07253,0.00496,0.8,0.46793,0.31641,1.15645,3.41973,1.22132,0.000654321,0.000654321,0.000654321
2,22.2853,0.98672,1.50815,1.02156,0.85643,0.7,0.74863,0.5494,1.19904,2.00881,1.27408,0.00129483,0.00129483,0.00129483
3,31.1312,0.97752,1.33179,1.02954,0.88582,0.77653,0.777,0.57363,1.09837,1.78702,1.22668,0.00190894,0.00190894,0.00190894
4,40.1666,0.94564,1.21244,1.03374,0.88151,0.74427,0.68745,0.48914,1.1574,1.63005,1.36759,0.0018812,0.0018812,0.0018812
5,49.5632,0.94368,1.07664,1.02726,0.87151,0.8,0.83108,0.56751,1.07011,1.25876,1.21167,0.0018416,0.0018416,0.0018416
6,58.3624,0.91706,1.01285,1.03467,0.74983,0.8992,0.80921,0.57622,1.13848,1.26258,1.25278,0.001802,0.001802,0.001802
7,67.0221,0.9264,0.99348,1.05825,0.86245,0.75,0.84868,0.60832,0.98703,1.27362,1.24147,0.0017624,0.0017624,0.0017624
8,75.9329,0.91121,0.91904,1.03591,0.88694,0.85,0.84253,0.65226,1.12425,1.2372,1.36731,0.0017228,0.0017228,0.0017228
9,84.8609,0.88168,0.83563,1.0036,0.87239,0.85,0.81873,0.57667,1.1475,1.05409,1.26255,0.0016832,0.0016832,0.0016832
10,93.8985,0.92825,0.81336,1.00908,0.88207,0.85,0.84219,0.59404,1.33324,1.15611,1.3656,0.0016436,0.0016436,0.0016436
11,102.853,0.87835,0.77146,1.01037,0.94394,0.84236,0.86533,0.66479,1.0116,0.91982,1.15408,0.001604,0.001604,0.001604
12,112.16,0.85505,0.75514,0.98063,0.90581,0.8,0.91027,0.67267,0.90974,1.15458,1.14778,0.0015644,0.0015644,0.0015644
13,122.23,0.78985,0.69126,0.96767,0.79527,0.85,0.83976,0.62694,0.93124,1.06719,1.19533,0.0015248,0.0015248,0.0015248
14,132.458,0.79974,0.68696,0.98769,0.93577,0.85,0.89423,0.66236,0.92211,0.91464,1.10448,0.0014852,0.0014852,0.0014852
15,142.878,0.78297,0.64761,0.95594,0.78178,0.89583,0.87499,0.70226,0.82735,0.93522,1.16212,0.0014456,0.0014456,0.0014456
16,152.987,0.76832,0.64691,0.96677,0.83985,0.85,0.86243,0.65167,0.89104,1.01315,1.16248,0.001406,0.001406,0.001406
17,163.415,0.73852,0.62,0.95166,0.89199,0.9,0.93804,0.73071,0.86136,0.82944,1.14703,0.0013664,0.0013664,0.0013664
18,174.27,0.73931,0.61498,0.95429,0.93701,0.85,0.92343,0.70304,0.90462,0.80849,1.09836,0.0013268,0.0013268,0.0013268
19,185.608,0.74964,0.59457,0.94999,0.93716,0.85,0.9346,0.72162,0.82993,0.77819,1.09059,0.0012872,0.0012872,0.0012872
20,194.979,0.7537,0.57657,0.96415,0.84833,0.83941,0.88914,0.68903,0.77621,0.72442,1.09431,0.0012476,0.0012476,0.0012476
21,203.915,0.72357,0.54468,0.94372,0.90294,0.93089,0.9319,0.71921,0.88989,0.81861,1.13662,0.001208,0.001208,0.001208
22,213.329,0.71444,0.5435,0.94609,0.94775,0.9073,0.975,0.75839,0.84493,0.66195,1.09556,0.0011684,0.0011684,0.0011684
23,222.676,0.7161,0.52921,0.93041,0.94471,0.95,0.96704,0.75581,0.78228,0.65741,1.09049,0.0011288,0.0011288,0.0011288
24,231.896,0.71451,0.53693,0.93533,0.9407,0.95,0.96571,0.75356,0.78916,0.76913,1.06866,0.0010892,0.0010892,0.0010892
25,241.212,0.70794,0.522,0.93156,0.94693,0.89252,0.96545,0.77085,0.8139,0.66192,1.14103,0.0010496,0.0010496,0.0010496
26,251.396,0.69359,0.51365,0.92806,0.94223,0.95,0.95333,0.75104,0.7454,0.67867,1.11416,0.00101,0.00101,0.00101
