epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.5798,1.06495,2.25824,1.07253,0.00496,0.8,0.46793,0.31641,1.15645,3.41973,1.22132,0.000654321,0.000654321,0.000654321
2,22.1729,0.98672,1.50815,1.02156,0.85643,0.7,0.74863,0.5494,1.19904,2.00881,1.27408,0.00129483,0.00129483,0.00129483
3,32.1181,0.97752,1.33179,1.02954,0.88582,0.77653,0.777,0.57363,1.09837,1.78702,1.22668,0.00190894,0.00190894,0.00190894
4,41.2578,0.94564,1.21244,1.03374,0.88151,0.74427,0.68745,0.48914,1.1574,1.63005,1.36759,0.0018812,0.0018812,0.0018812
5,50.4322,0.94368,1.07664,1.02726,0.87151,0.8,0.83108,0.56751,1.07011,1.25876,1.21167,0.0018416,0.0018416,0.0018416
6,59.5953,0.91706,1.01285,1.03467,0.74983,0.8992,0.80921,0.57622,1.13848,1.26258,1.25278,0.001802,0.001802,0.001802
7,68.3208,0.9264,0.99348,1.05825,0.86245,0.75,0.84868,0.60832,0.98703,1.27362,1.24147,0.0017624,0.0017624,0.0017624
8,76.959,0.91121,0.91904,1.03591,0.88694,0.85,0.84253,0.65226,1.12425,1.2372,1.36731,0.0017228,0.0017228,0.0017228
9,85.8159,0.88168,0.83563,1.0036,0.87239,0.85,0.81873,0.57667,1.1475,1.05409,1.26255,0.0016832,0.0016832,0.0016832
10,95.1121,0.92825,0.81336,1.00908,0.88207,0.85,0.84219,0.59404,1.33324,1.15611,1.3656,0.0016436,0.0016436,0.0016436
